Column1;Column2;Column3
běžím;τρέχω;
jest;ἐστί(ν);
důvěřuji;πιστεύω;
miluji;στέργω;
jsou;εἰσὶ(ν);
je třeba;δεῖ;
vychovávám;παιδεύω;
překračuji;δια-βαίνω;
utíkám před, vyhýbám se;φέυγω (s ak.);
vyhýbati se námaze;τόν πόνον φεύγειν;
píši;γράφω;
vedu, přivádím;ἄγω;
cvičím;γυμνάζω;
připravuji, chystám;παρα-σκευάζω;
podivuji se, obdivuji;θαυμάζω;
jsem obdivován, docházím obdivu;θαυμάζομαι;
nesu, snáším, trpím;φέρω;
bojuji proti;μάχομαι (s dat.);
táhnu, pochoduji;πορεύομαι;
bojuji proti nepřátelům;μάχομαι τοῖς πολεμίοις;
těším se, raduji se;χαίρω (s dat.);
těším se z vítězství;χαίρω τῇ νίκῃ;
Buď zdráv! Buď vítán!;χαῖρε!;
zpívám;ᾄδω;
chráním, ochraňuji;σῴζω;
je ctěn, je vážen, je ve vážnosti;τίμός ἐστιν;
byl;ἦν;
byli;ἦσαν;
jmenuji, nazývám;ὀνομάζω;
říkám, mluvím;λέγω;
buď!;ἴσθι!;
konati olympijské hry;Ὀλύμπια ἄγειν;
radím se;βουλεύομαι;
konám, jednám;πράττω;
chci, hodlám, váhám;μέλλω;
mám;ἔχω;
podstupuji;ὑπο-μένω;
střežím, hlídám;φυλάττω;
odvracím;ἀπο-τρέπω;
soudím;κρίνω;
stávám se, vznikám;γίγνομαι;
věštím;μαντεύομαι;
ruším, ničím;κατα-λύω;
zbavuji se;ἀπο-λύομαι (s gen.);
vybízím;παρα-κελεύομαι (s dat.);
radím;συμ-βουλεύω (s dat.);
považuji, domnívám se;νομίζω;
zakazuji;ἀπ-αγορεύω;
zabíjím;φονεύω;
přemlouvám;πείθω (s dat.);
poslouchám, věřím, nechávám se přemluvit;πείθομαι (s dat.);
učím se něčemu;μανθάνω (s ak.);
vládnu někomu, nad;ἄρχω;
svěřuji;ἐπι-τρέπω;
škodím;βλάπτω;
domnívám se;ὑπο-λαμβάνω;
otáčím, překrucuji;στρέφω;
oznamuji, zvěstuji;ἀγγέλλω;
přicházím, blížím se;προσ-έργομαι;
pomáhám;συμ-πράττω (s dat.);
opouštím;ἀπο-λείπω;
řadím;τάττω;
pronásleduji;διώκω;
živím, vydržuji, vychovávám;τρέφω;
slyším, poslouchám;ἀκούω;
obtížné poměry, obtížné postavení;τὰ χαλεπὰ πράγματα;
kráčím, jdu;βαίνω;
plodím, rodím;τίκτω;
piji;πίνω;
je povinností ženy;τῆς γυναικός ἐστιν;
učím někoho;διδάσκω (s ak.);
táhnu, podnikám výpravu;στρατεύομαι;
mlčím, zachovávám mlčení;σιγὴν ἔχω;
přivádím;προσ-άγω;
opouštím, zanechávám;κατα-λείπω;
obracím se;τρέπομαι;
jsem vděčen, chovám vděčnost;χάριν ἔχω;
myji;νίζω;
otročím, sloužím;δουλεύω;
tísním, soužím;πιέζω;
přináším;προσ-φέρω;
beru, přijímám, dostávám;λαμβάνω;
okouším, prožívám;ἀπο-λαύω (s gen.);
chci;βούλομαι;
obracím, převracím;ἀνα-τρέπω;
poznávám;γιγνώσκω;
poroučím, vybízím;κελεύω;
znepokojuji, děsím;ταράττω;
pracuji;ἐργάζομαι;
chci;ἐθέλω;
strojím úklady;ἐπι-βουλεύω;
kraluji, vládnu;βασιλεύω (s gen.);
naháním strach;ἐμ-βάλλω φόβον;
starám se, pečuji;ἐπι-μέλομαι;
viklám, přivádím do záhuby;σφάλλω;
zraňuji;τιτρώσκω;
rozkazuji (někomu);κελεύω (s ak.);
pohřbívám;θάπτω;
kryji, tajím, zakrývám;κρύπτω;
mluvím pravdu;ἀληθεύω;
vysekávám, kácím;ἐκ-κόπτω;
mluvím (ve shromáždění), řečním;ἀγορεύω;
modlím se, slibuji;εὔχομαι;
podrobuji si;κατα-στρέφομαι;
sbírám, shromažďuji, svolávám;συλ-λέγω;
klamu;ψεύδω;
lžu;ψεύδομαι;
obesílám, povolávám si k sobě;μετα-πέμπομαι;
ozbrojuji;ὁπλίζω;
závodím, zápasím;ἀγωνίζομαι (πρός s ak.);
miluji, mám rád;φιλῶ, φιλεῖν;
činím, dělám;ποιῶ, ποιεῖν;
prospívám;ὠφελῶ, εῖν (s ak.);
přiznávám, souhlasím, uznávám;ὁμο-λογῶ, εῖν;
křivdím;ἀ-δικῶ, εῖν (s ak.);
nenávidím;μισῶ, εῖν;
ztroskotávám;ναυ-αγῶ, εῖν;
jsem nešťasten, mám nezdar;ἀ-τυχῶ, εῖν;
jsem nešťasten, mám nezdar;δυσ-τυχῶ, εῖν;
jsem šťasten;εὐ-τυχῶ, εῖν;
pomáhám;βοηθῶ, εῖν (s dat.);
válčím s...;πολεμῶ, εῖν (s. dat.);
starám se, pečuji, dbám;ἐπι-μελοῦμαι, εῖσθαι;
jsem nemocen;νοσῶ, εῖν;
zdobím;κοσμῶ, εῖν;
